sentence1	sentence2	similarity
M?i ng??i ?ang ng?i d?a vÖo t??ng	N?m ng??i l?n ?ang ng?i tràn b?c ?†	0.64
M?t ng??i ?Ön ìng ?ang leo n£i vÖ m?t thÖnh ph? vÖ m?t v?nh ? ph°a sau	M?t ng??i ?ang leo n£i vÖ m?t thÖnh ph? vÖ m?t v?nh ? ph°a sau	0.88
"M?t ng??i ?Ön ìng ?ang leo n£i, d?ng l?i vÖ t°nh to†n l? trçnh"	M?t ng??i ?Ön ìng ?ang leo n£i vÖ m?t thÖnh ph? vÖ m?t v?nh ? ph°a sau	0.76
"M?t ng??i ph? n? ?ang leo n£i, d?ng l?i vÖ t°nh to†n l? trçnh"	M?t ng??i ?Ön ìng ?ang leo n£i vÖ m?t thÖnh ph? vÖ m?t v?nh ? ph°a sau	0.7
"M?t ng??i ?Ön ìng ?ang leo n£i, d?ng l?i vÖ t°nh to†n l? trçnh"	M?t ng??i ?ang leo n£i vÖ m?t thÖnh ph? vÖ m?t v?nh ? ph°a sau	0.71
"M?t ng??i ?Ön ìng ?ang leo n£i, d?ng l?i vÖ t°nh to†n l? trçnh"	M?t ng??i ?Ön ìng ?ang leo n£i vÖ m?t thÖnh ph? vÖ m?t v?nh ? ph°a sau	0.66
M?t cì bÇ ?ang ?†nh b¢ng t? tee	M?t cì bÇ m?c †o s? mi h?ng ?ang ch?i b¢ng chÖy vÖ ?†nh ?u	0.82
M?t cì bÇ b? m?t m?t qu? b¢ng chÖy tràn tee	M?t cì bÇ m?c †o s? mi h?ng ?ang ch?i b¢ng chÖy vÖ ?†nh ?u	0.78
M?t cì bÇ m?c †o s? mi h?ng ?ang ch?i b¢ng chÖy vÖ ?†nh ?u	M?t cì g†i ?ang ?†nh m?t qu? b¢ng chÖy nh?	0.66
M?t cì bÇ ?ang ?†nh b¢ng chÖy t? tee	M?t c?u bÇ m?c †o s? mi h?ng ?ang ch?i b¢ng chÖy vÖ ?†nh ?u	0.66
M?i ng??i ?ang t? t?p t?i m?t gian hÖng ? h?i ch?	M?t nh¢m ng??i ?ang t? t?p t?i m?t gian hÖng ? h?i ch?	0.96
M?t nh¢m ng??i ?ang t? t?p t?i m?t gian hÖng ? h?i ch?	M?i ng??i ?ang ch?y trong l? h?i	0.56
M?i ng??i ?ang t? t?p t?i m?t gian hÖng ? h?i ch?	M?i ng??i ?ang ??ng ? l? h?i	0.72
Nh?ng ng??i tr??t patin ?ang l?n theo ??i hçnh xu?ng ??i	Ng??i tr??t patin khìng l?n theo ??i hçnh xu?ng d?c	0.86
Nh?ng ng??i tr??t patin ?ang ch?y theo ??i hçnh xu?ng ??i	M?t nh¢m ng??i tr??t patin ?ang x?p hÖng tràn ph?	0.76
Ng??i tr??t patin khìng l?n theo ??i hçnh xu?ng d?c	M?t nh¢m ng??i tr??t patin ?ang x?p hÖng tràn ph?	0.64
Nh?ng ng??i tr??t patin ?ang l?n theo ??i hçnh xu?ng ??i	M?t nh¢m ng??i tr??t patin ?ang x?p hÖng tràn ph?	0.68
M?t ng??i ph? n? ?ang di?u hÖnh cóng m?t c?p ch¢	M?t ng??i ph? n? ?ang ?i b? v?i m?t c?p ch¢	0.88
M?t ng??i ph? n? ?ang di?u hÖnh cóng m?t c?p ch¢	M?t ng??i ph? n? ?ang cho xem m?t ch£ ch¢ c¢ lìng r?t ng?n t?i m?t cu?c thi ch¢	0.48
M?t ng??i ph? n? ?ang ?i b? v?i m?t c?p ch¢	M?t ng??i ph? n? ?ang cho xem m?t ch£ ch¢ c¢ b? lìng r?t dÖi t?i m?t cu?c thi ch¢	0.56
M?t ng??i ph? n? ?ang ??ng v?i m?t c?p ch¢	M?t ng??i ph? n? ?ang cho xem m?t ch£ ch¢ c¢ b? lìng r?t dÖi t?i m?t cu?c thi ch¢	0.6
M?t ng??i tr??t v†n ?ang nh?y xu?ng d?c	Khìng c¢ ng??i tr??t v†n nÖo nh?y ra kh?i d?c	0.66
M?t ng??i ?Ön ìng m?c ?? ?en ?ang ?i giÖy tr??t patin vÖ bi?u di?n nhÖo l?n tràn ???ng ray	M?t ng??i ?Ön ìng m?c ?? ?en ?ang ?i giÖy tr??t patin vÖ bi?u di?n m?t trï ?o thu?t tràn ???ng ray	0.92
M?t ng??i tr??t v†n ?ang nh?y xu?ng d?c	M?t ng??i ph? n? m?c ?? ?en ?ang ?i giÖy tr??t patin vÖ bi?u di?n m?t trï ?o thu?t tràn ???ng ray	0.6
M?t ng??i ?Ön ìng m?c ?? ?en ?ang ?i giÖy tr??t patin vÖ bi?u di?n m?t trï ?o thu?t tràn ???ng ray	M?t ng??i tr??t v†n ?ang nh?y kh?i m?t ?o?n ???ng d?c	0.6
Khìng c¢ ng??i tr??t v†n nÖo nh?y ra kh?i d?c	M?t ng??i ?Ön ìng m?c ?? ?en ?ang ?i giÖy tr??t patin vÖ bi?u di?n m?t trï ?o thu?t tràn ???ng ray	0.46
M?t ng??i ?Ön ìng m?c ?? ?en ?ang ?i giÖy tr??t patin vÖ bi?u di?n m?t trï ?o thu?t tràn ???ng ray	M?t ng??i tr??t v†n ?ang nh?y xu?ng d?c	0.48
Ba ??a tr? ?ang ch?y xu?ng m?t s??n ??i c?	Ba ??a tr? ?ang ch?y xu?ng m?t s??n ??i ph? ??y c?	0.98
Ba ??a tr? ?ang ch?y làn m?t s??n ??i c?	Ba ??a tr? ?ang ch?y xu?ng m?t s??n ??i c?	0.86
Ba ??a tr? ?ang ch?y xu?ng m?t s??n ??i ph? ??y c?	Ba ??a tr? ?ang ch?y xu?ng ??i	0.86
Ba ??a tr? ?ang ch?y xu?ng ??i	Ba ??a tr? ?ang ch?y làn m?t s??n ??i c?	0.76
M?t con chim mÖu ?en vÖ cam ?ang ??ng tràn b?i c?	M?t con chim mÖu ?en vÖ cam ?ang ??ng tràn c?	0.92
M?t con chim mÖu ?en vÖ cam ?ang ??ng tràn c?	M?t con chim ?en vÖ cam khìng ??ng tràn c?	0.68
M?t con chim tr?ng c¢ m? vÖng ?ang ??ng tràn b?i c? xanh	M?t con chim ?en c¢ m? vÖng ?ang ??ng tràn b?i c? xanh	0.76
M?t con chim mÖu ?en vÖ cam ?ang ??ng tràn b?i c?	M?t con chim ?en c¢ m? vÖng ?ang ??ng tràn b?i c? xanh	0.74
M?t ng??i ?Ön ìng c?i tr?n ?ang t?o d†ng v?i m?t cì g†i ?ang ?i b? ???ng dÖi trong cìng viàn	M?t ng??i khìng m?c †o ?ang t?o d†ng v?i m?t cì g†i ?ang ?i b? ???ng dÖi trong cìng viàn	0.92
M?t ng??i ?Ön ìng m?c †o s? mi ?ang t?o d†ng v?i hai tay dang r?ng bàn c?nh m?t ng??i ph? n?	M?t ng??i ?Ön ìng khìng m?c †o ?ang t?o d†ng v?i hai tay dang r?ng bàn c?nh m?t ng??i ph? n?	0.84
M?t ng??i ?Ön ìng c?i tr?n ?ang t?o d†ng v?i m?t cì g†i ?ang ?i b? ???ng dÖi trong cìng viàn	M?t ng??i ?Ön ìng khìng m?c †o ?ang t?o d†ng v?i hai tay dang r?ng g?n m?t ng??i ph? n?	0.82
M?t ng??i ?Ön ìng khìng m?c †o ?ang t?o d†ng v?i hai tay dang r?ng bàn c?nh m?t ng??i ph? n?	M?t ng??i ph? n? c?i tr?n ?ang t?o d†ng cóng m?t cì g†i ?ang ?i b? ???ng dÖi trong cìng viàn	0.58
Hai ch£ ch¢ con mÖu tr?ng ?ang ch?i g?n h? b?i	Hai ch£ ch¢ con mÖu tr?ng ?ang ch?i ?óa g?n n??c	0.88
Hai con ch¢ tr?ng ?ang ch?y cóng nhau	Hai ch£ ch¢ con mÖu ?en ?ang ch?i ?óa g?n h? b?i	0.32
M?t nh¢m ng??i khìng ??ng xung quanh m?t bÖn tr?n Ém thanh	M?t nh¢m ng??i ?ang ??ng quanh m?t bÖn tr?n Ém thanh	0.62
M?t nh¢m ng??i ?ang ??ng quanh m?t bÖn tr?n Ém thanh	M?t nh¢m ng??i khìng nhçn vÖo thi?t b? Ém thanh	0.74
M?t c?p ?ìi tr? ?ang ng? tràn gi??ng	M?t c?p ?ìi tr? ?ang n?m tràn gi??ng cóng nhau	0.82
M?t c?p ?ìi tr? ?ang n?m tràn gi??ng cóng nhau	M?t c?p ?ìi tr? khìng n?m tràn gi??ng	0.74
Ba ng??i ?Ön ìng ?ang ?i qua m?t cÉy c?u g? vÖ dÉy th?ng b?c qua m?t con sìng	Ba ng??i ?ang ?i b? qua m?t cÉy c?u g? vÖ dÉy th?ng b?c qua m?t con sìng	0.9
Ba ng??i ?ang ?i b? qua m?t cÉy c?u g? vÖ dÉy th?ng b?c qua m?t con sìng	Ba ng??i ?ang ?i b? qua m?t cÉy c?u dÉy th?ng vÖ thÇp b?c qua m?t con sìng	0.8
M?i ng??i ?ang b?ng qua m?t cÉy c?u dÉy b?c qua m?t dïng su?i ?†	M?i ng??i ?ang ?i b? qua m?t cÉy c?u dÉy b?c qua m?t dïng su?i ?†	0.98
Ba ng??i ?ang ?i b? qua m?t cÉy c?u g? vÖ dÉy th?ng b?c qua m?t con sìng	M?i ng??i khìng ?i b? qua m?t cÉy c?u dÉy b?c qua m?t dïng su?i ?†	0.657
Ba ng??i ?ang ?i b? qua m?t cÉy c?u dÉy th?ng vÖ thÇp b?c qua m?t con sìng	M?i ng??i ?ang ?i b? qua m?t cÉy c?u dÉy b?c qua m?t dïng su?i ?†	0.72
M?i ng??i ?ang ?i b? qua m?t cÉy c?u dÉy b?c qua m?t dïng su?i ?†	Ba ng??i ?ang ?i b? qua m?t cÉy c?u g? vÖ dÉy th?ng b?c qua m?t con sìng	0.87
B?n ng??i ?ang ?i tràn m?t cÉy c?u b?c qua sìng	B?n ng??i ?ang ?i tràn m?t cÉy c?u b?c qua m?t vóng n??c	0.92
B?n ng??i ?ang ?i tràn m?t cÉy c?u b?c qua m?t vóng n??c	B?n ng??i ?ang ng?i tràn m?t cÉy c?u b?c qua m?t vóng n??c	0.82
M?t s? ng??i ?ang ?i b? theo hÖng qua c?u	M?t s? ng??i khìng ?i b? theo hÖng qua c?u	0.76
B?n ng??i ?ang ?i tràn m?t cÉy c?u b?c qua sìng	M?t s? ng??i ?ang ?i b? theo hÖng qua c?u	0.78
B?n ng??i ?ang ng?i tràn m?t cÉy c?u b?c qua m?t vóng n??c	M?t s? ng??i ?ang ?i b? theo hÖng qua c?u	0.66
M?t c?u bÇ ?ang nh?y xu?ng n??c	M?t ??a tr? ?ang nh?y xu?ng n??c	0.98
M?t c?u bÇ ?ang nh?y ra kh?i m?t n??c	M?t c?u bÇ ?ang nh?y xu?ng n??c	0.7
M?t c?u bÇ ?ang nh?y ra kh?i m?t n??c	M?t ??a tr? m?c †o kho†c mÖu vÖng vÖ ?ang nh?y xu?ng t? m?t t?ng ?†	0.44
M?t ??a tr? m?c †o kho†c mÖu vÖng vÖ ?ang nh?y xu?ng t? m?t t?ng ?†	M?t c?u bÇ ?ang nh?y xu?ng n??c	0.52
??a tr? ?ang l†i chi?c xe tay ga ba b†nh tràn v?a hä	M?t ??a tr? ?ang l†i xe tay ga ba b†nh tràn v?a hä	0.98
Khìng c¢ ??a tr? nÖo ?ang l†i xe tay ga ba b†nh tràn v?a hä	M?t ??a tr? ?ang c??i m?t chi?c xe tay ga ?? ch?i b?ng nh?a	0.72
Ba ng??i ?Ön ìng ?ang ng?i tràn s??n n£i vÖ ng?m c?nh b?ng ?ng nhïm	Ba ng??i ?i b? ???ng dÖi ?ang ng?i tràn s??n n£i vÖ ng?m c?nh b?ng ?ng nhïm	0.88
Ba ng??i ?Ön ìng ?ang n?m tràn ??i vÖ nhçn làn n£i vÖ b?u tr?i	Ba ng??i ?Ön ìng ?ang ng?i tràn ??i vÖ nhçn làn n£i vÖ b?u tr?i	0.84
Ba ng??i ?Ön ìng ?ang n?m tràn ??i vÖ nhçn làn n£i vÖ b?u tr?i	Ba ng??i ?i b? ???ng dÖi ?ang ng?i tràn s??n n£i vÖ ng?m c?nh b?ng ?ng nhïm	0.62
Ba ng??i ?Ön ìng ?ang ng?i tràn s??n n£i vÖ ng?m c?nh b?ng ?ng nhïm	Ba ng??i ?Ön ìng ?ang ng?i tràn ??i vÖ nhçn làn n£i vÖ b?u tr?i	0.74
Ba ng??i ?i b? ???ng dÖi ?ang ??ng tràn s??n n£i vÖ ng?m c?nh b?ng ?ng nhïm	Ba ng??i ?Ön ìng ?ang ng?i tràn ??i vÖ nhçn làn n£i vÖ b?u tr?i	0.72
M?t cì g†i ?ang nh?y dÉy trong cìng viàn	M?t cì g†i ?ang nh?y dÉy tràn v?a hä	0.8
M?t cì g†i tr? ?ang nh?y dÉy tràn v?a hä g?n b?i ??u xe	M?t cì g†i ?ang nh?y dÉy tràn v?a hä	0.82
M?t cì g†i ?ang nh?y dÉy tràn v?a hä	M?t c?u bÇ ?ang nh?y dÉy tràn v?a hä g?n b?i ??u xe	0.76
M?t cì g†i ?ang nh?y dÉy tràn v?a hä g?n b?i ?? xe	M?t cì g†i ?ang nh?y dÉy tràn v?a hä	0.86
M?i ng??i t? t?p quanh ??ng l?a vÖo ban ?àm	M?i ng??i t? t?p quanh ??ng l?a vÖo bu?i s†ng	0.72
Khìng c¢ ng??i ng?i quanh ??ng l?a vÖo ban ?àm	M?i ng??i t? t?p quanh ??ng l?a vÖo ban ?àm	0.78
M?i ng??i ?ang ng?i quanh ??ng l?a vÖo ban ?àm	M?t s? ng??i ?ang ng?i quanh ??ng l?a vÖo ban ?àm	0.86
M?t con ch¢ tr?ng ?ang ??ng trong h?	M?t con ch¢ nÉu ?ang ??ng trong h?	0.68
Hai con ch¢ ?ang ch?y qua cìng viàn	Hai con v?t ?ang ch?y qua cìng viàn	0.9
Hai con ch¢ ?ang ch?y qua b?i bi?n	Hai con ch¢ ?ang ch?y qua cìng viàn	0.64
Hai con ch¢ ?ang ch?y nhanh qua cìng viàn	Hai con ch¢ ?ang ch?y nhanh qua cìng viàn	1
Hai con ch¢ ?ang ?i b? ch?m r?i qua cìng viàn	Hai con ch¢ ?ang ch?y nhanh qua cìng viàn	0.74
M?t c?u bÇ ?ang lao xu?ng m?t ???ng tr??t d?c	M?t ??a tr? ?ang lao xu?ng m?t ???ng tr??t d?c	0.96
M?t cì g†i ?ang lao xu?ng m?t ???ng tr??t d?c	M?t c?u bÇ ?ang lao xu?ng m?t ???ng tr??t d?c	0.74
M?t c?u bÇ ?ang lao xu?ng m?t ???ng tr??t d?c	M?t c?u bÇ m?c ?? toÖn mÖu ?en vÖ ?ang tr??t xu?ng m?t c?u tr??t b?m h?i mÖu vÖng	0.78
M?t ng??i ?Ön ìng c¢ ria mÇp tr?ng ?ang ng?i tràn ban cìng vÖ nhçn xu?ng con ???ng bàn d??i	M?t ng??i ?Ön ìng c¢ ria mÇp tr?ng ?ang ??ng tràn ban cìng vÖ nhçn xu?ng con ???ng bàn d??i	0.88
M?t ng??i ?Ön ìng c¢ ria mÇp tr?ng ?ang ng?i tràn ban cìng vÖ nhçn xu?ng con ???ng bàn d??i	M?t ng??i ?Ön ìng ?ang d?a vÖo b? ban cìng	0.74
M?t ng??i ph? n? ?ang d?a vÖo b? ban cìng	M?t ng??i ?Ön ìng c¢ ria mÇp tr?ng ?ang ??ng tràn ban cìng vÖ nhçn xu?ng con ???ng bàn d??i	0.56
 M?t con ch¢ mÖu nÉu vÖ tr?ng v?i chi?c kh?n r?n mÖu nÉu vÖ ?en ?ang ch?y nhanh	M?t con ch¢ mÖu nÉu vÖ tr?ng v?i chi?c kh?n r?n mÖu nÉu vÖ ?en ?ang ch?y r?t nhanh	0.98
M?t con ch¢ tr?ng nh? ?ang ch?y qua b?i c?	 M?t con ch¢ mÖu nÉu vÖ tr?ng v?i chi?c kh?n r?n mÖu nÉu vÖ ?en ?ang ch?y nhanh	0.56
M?t con ch¢ mÖu nÉu vÖ tr?ng v?i chi?c kh?n r?n mÖu nÉu vÖ ?en ?ang ch?y r?t nhanh	M?t con ch¢ tr?ng nh? ?ang ch?y tràn b?i c?	0.58
M?t con ch¢ mÖu nÉu vÖ tr?ng v?i chi?c kh?n r?n mÖu nÉu vÖ ?en ?ang ch?y r?t nhanh	M?t con ch¢ tr?ng nh? ?ang ch?y qua b?i c?	0.68
M?t con ch¢ ?en ???c x°ch ?ang ?i b? trong n??c	M?t con ch¢ tr?ng ???c x°ch ?ang ?i b? trong n??c	0.72
M?t con ch¢ tr?ng ???c x°ch ?ang ?i b? trong n??c	Con ch¢ ?ang ???c x°ch vÖ ?ang ?i ra kh?i n??c	0.72
M?t con ch¢ ?en ???c x°ch ?ang ?i b? trong n??c	Con ch¢ ?ang ???c x°ch vÖ ?i b? trong n??c	0.86
M?t chi?c xe tr??t tuy?t mÖu ?? ?ang ???c m?t bÇ g†i m?c †o kho†c xanh l† cÉy vÖ m?t c?u bÇ ?i tràn tuy?t gi?	M?t cì bÇ m?c †o kho†c xanh vÖ m?t c?u bÇ c?m xe tr??t tuy?t mÖu ?? ?ang ?i tràn tuy?t	0.84
M?t cì bÇ m?c †o kho†c xanh vÖ m?t c?u bÇ c?m xe tr??t tuy?t mÖu ?? ?ang ?i tràn tuy?t	M?t cì bÇ m?c †o kho†c xanh vÖ m?t c?u bÇ c?m chi?c xe tr??t tuy?t mÖu ?? ?ang n?m tràn tuy?t	0.74
M?t cì bÇ m?c †o kho†c xanh vÖ m?t c?u bÇ c?m xe tr??t tuy?t mÖu ?? ?ang ?i tràn tuy?t	M?t ??a tr? m?c †o kho†c vÖ ?ang mang m?t chi?c xe tr??t tuy?t mÖu ?? g?n m?t ??a tr? m?c †o kho†c mÖu xanh l† cÉy vÖ ?en	0.76
M?t c?u bÇ ?ang ng?i tràn m?t ??t	M?t ??a tr? ?ang ng?i xu?ng	0.66
M?t c?u bÇ ?ang ng?i tràn gh?	M?t ??a tr? ?ang ng?i tràn gh?	0.74
M?t c?u bÇ ?ang ng?i tràn m?t ??t	M?t c?u bÇ ?ang ng?i tràn gh?	0.74
M?t c?u bÇ ?ang ng?i tràn gh?	M?t ??a tr? ?ang ng?i xu?ng	0.84
M?t con ch¢ ?ang b?t m?t chi?c ??a bay mÖu ?en	M?t con ch¢ ?ang c?n m?t chi?c ??a bay mÖu ?en	0.82
M?t con ch¢ vÖng l?n ??t ?ang nh?t m?t m¢n ?? ch?i	M?t con ch¢ vÖng l?n ??t ?ang c?m m?t m¢n ?? ch?i	0.86
M?t con ch¢ vÖng l?n ??t ?ang nh?t m?t m¢n ?? ch?i	M?t con mäo vÖng l?n ??t ?ang nh?t m?t m¢n ?? ch?i	0.58
M?t ng??i ?Ön ìng ?ang ?i b? tràn ph? thÖnh ph?	M?t ng??i ph? n? ?ang ?i b? tràn ph? thÖnh ph?	0.7
M?t ng??i ph? n? ?ang ?i b? tràn ph? thÖnh ph?	M?t ng??i ?Ön ìng m?c †o kho†c dÖi mÖu ?en vÖ ??i m? nÉu ?ang ?i ngang qua m?t cìng viàn c¢ r?t nhi?u cÉy ?ang n? hoa	0.32
Hai ng??i ?ang ?i xe m†y	Xe m†y ?ang ???c ?i?u khi?n b?i hai ng??i	0.98
Nh?ng ng??i ?i xe ??p ??a hçnh ?ang ?i tràn m?t con ???ng mïn	Hai ng??i khìng ?i xe m†y	0.54
Hai ng??i ?ang ?i xe m†y	Nh?ng ng??i ?i xe ??p ??a hçnh ?ang ?i tràn m?t con ???ng mïn	0.72
M?t ng??i ?Ön ìng ?ang d?a vÖo m?t c†i c?t vÖ ???c bao quanh b?i m?i ng??i	M?t ng??i ?Ön ìng ?ang d?a vÖo m?t c†i c?t vÖ b? bao quanh	0.84
M?t ng??i ?Ön ìng Trung ?ìng ?ang ??ng d?a vÖo c?t ?än g?n nh?ng ng??i kh†c	M?t ng??i ?Ön ìng ?ang d?a vÖo m?t c†i c?t vÖ ???c bao quanh b?i m?i ng??i	0.74
M?t ng??i ph? n? Trung ?ìng ?ang ??ng quay l?ng vÖo c?t ?än g?n nh?ng ng??i kh†c	M?t ng??i ?Ön ìng ?ang d?a vÖo m?t c†i c?t vÖ ???c bao quanh b?i m?i ng??i	0.5
M?t c?p ?ìi khìng nhçn vÖo b?n ??	M?t c?p ?ìi ?ang nhçn vÖo b?n ??	0.86
M?t ng??i ?Ön ìng vÖ m?t ng??i ph? n? ?ang ??ng tr??c m?t phïng tr?ng bÖy ngh? thu?t vÖ ?ang nhçn vÖo m?t b?n ??	 M?t ng??i ?Ön ìng vÖ m?t ng??i ph? n? ?ang ??ng tr??c m?t phïng tr?ng bÖy ngh? thu?t vÖ ?ang nhçn vÖo m?t t?m bi?n hi?u	0.76
M?t ng??i ?Ön ìng vÖ m?t ng??i ph? n? ?ang ??ng tr??c m?t phïng tr?ng bÖy ngh? thu?t vÖ ?ang nhçn vÖo m?t b?n ??	M?t ng??i ?Ön ìng vÖ m?t ng??i ph? n? ?ang ng?i tr??c m?t phïng tr?ng bÖy ngh? thu?t vÖ ?ang xem m?t b?n ??	0.68
 M?t ng??i ?Ön ìng vÖ m?t ng??i ph? n? ?ang ??ng tr??c m?t phïng tr?ng bÖy ngh? thu?t vÖ ?ang nhçn vÖo m?t t?m bi?n hi?u	M?t c?p ?ìi ?ang nhçn vÖo b?n ??	0.46
M?t ng??i ?Ön ìng vÖ m?t ng??i ph? n? ?ang ng?i tr??c m?t phïng tr?ng bÖy ngh? thu?t vÖ ?ang xem m?t b?n ??	M?t c?p ?ìi ?ang nhçn vÖo b?n ??	0.88
M?t c?p ?ìi ?ang xem m?t cu?n h??ng d?n ???ng ph?	M?t ng??i ?Ön ìng vÖ m?t ng??i ph? n? ?ang ??ng tr??c m?t phïng tr?ng bÖy ngh? thu?t vÖ ?ang nhçn vÖo m?t b?n ??	0.74
M?t ch£ ch¢ nh? ?ang ch?y tràn c†t	Khìng c¢ ch£ ch¢ nh? nÖo ch?y tràn c†t	0.5
Khìng c¢ ch£ ch¢ nh? nÖo ch?y tràn c†t	Con ch¢ ?ang ch?y qua s?i	0.64
Hai ng??i ?Ön ìng ?ang ??ng tràn mÇp v†ch ?† vÖ m?t ng??i ?ang nh?y xu?ng bi?n	Hai ng??i ?Ön ìng ?ang ??ng tràn mÇp v†ch ?† vÖ m?t ng??i ?ang nh?y xu?ng n??c	0.92
M?t c?u bÇ m?c qu?n ?ói mÖu cam ?ang ??ng tràn m?t v†ch ?† tràn m?t n??c vÖ c?u bÇ kia m?c qu?n ?ói mÖu ?en ?ang nh?y t? tràn ?¢ xu?ng n??c	Hai ng??i ?Ön ìng ?ang ??ng tràn mÇp v†ch ?† vÖ m?t ng??i ?ang nh?y xu?ng bi?n	0.78
M?t c?u bÇ m?c qu?n ?ói mÖu cam ?ang ??ng tràn v†ch ?† tràn m?t n??c vÖ c?u bÇ kia m?c qu?n ?ói mÖu ?en ?ang l?n xu?ng n??c	Hai ng??i ?Ön ìng ?ang ??ng tràn mÇp v†ch ?† vÖ m?t ng??i ?ang nh?y xu?ng n??c	0.82
M?t cì g†i m?c qu?n short mÖu cam ?ang ??ng tràn m?t v†ch ?† tràn m?t n??c vÖ cì g†i kia m?c qu?n short mÖu ?en ?ang nh?y xu?ng n??c	Hai ng??i ?Ön ìng ?ang ??ng tràn mÇp v†ch ?† vÖ m?t ng??i ?ang nh?y xu?ng n??c	0.62
M?t c?u bÇ m?c †o s? mi xanh ?ang nhçn vÖo bÖn tay c?a mçnh g?n m?t ch?ng kh?i tràn bÖn	C?u bÇ m?c †o s? mi xanh ?ang nhçn vÖo bÖn tay c?a mçnh g?n ch?ng kh?i tràn bÖn	0.98
M?t c?u bÇ m?c †o s? mi xanh ?ang nhçn vÖo bÖn tay c?a mçnh g?n m?t ch?ng kh?i tràn bÖn	M?t ng??i ph? n? m?c †o s? mi xanh ?ang nhçn vÖo bÖn tay c?a mçnh g?n m?t ch?ng kh?i tràn bÖn	0.62
C?u bÇ m?c †o s? mi xanh ?ang nhçn vÖo bÖn tay c?a mçnh g?n ch?ng kh?i tràn bÖn	M?t c?u bÇ ?ang ch?i trï ch?i v?i nh?ng kh?i g?	0.62
M?t c?u bÇ ?ang ch?i trï ch?i v?i nh?ng kh?i g?	M?t ng??i ph? n? m?c †o s? mi xanh ?ang nhçn vÖo bÖn tay c?a mçnh g?n m?t ch?ng kh?i tràn bÖn	0.4
M?t c?u bÇ ?ang ch?i trï ch?i v?i nh?ng kh?i g?	M?t c?u bÇ m?c †o s? mi xanh ?ang nhçn vÖo bÖn tay c?a mçnh g?n m?t ch?ng kh?i tràn bÖn	0.68
M?t ng??i ph? n? m?c bikini ?ang kÇo m?t con ch¢ b?ng dÉy x°ch ? b? bi?n	M?t ng??i ph? n? m?c bikini ?ang kÇo m?t con ch¢ b?ng dÉy x°ch tràn b?i bi?n	0.92
M?t ng??i ph? n? m?c bikini ?ang kÇo m?t con ch¢ b?ng dÉy x°ch tràn b?i bi?n	M?t ng??i ph? n? m?c bikini ?ang kÇo m?t con mäo b?ng dÉy x°ch tràn b?i bi?n	0.78
M?t ng??i ph? n? m?c bikini ?ang kÇo m?t con ch¢ b?ng dÉy x°ch tràn b?i bi?n	M?t ng??i ph? n? ?ang ??ng tràn b?i bi?n v?i m?t con v?t tràn dÉy x°ch	0.763
M?t ng??i ph? n? m?c bikini ?ang kÇo m?t con mäo b?ng dÉy x°ch tràn b?i bi?n	M?t ng??i ph? n? ?ang ??ng tràn b?i bi?n v?i m?t con ch¢ ???c x°ch	0.64
M?t ng??i ph? n? ?ang ??ng tràn b?i bi?n v?i m?t con ch¢ ???c x°ch	M?t ng??i ph? n? m?c bikini ?ang kÇo m?t con ch¢ b?ng dÉy x°ch tràn b?i bi?n	0.66
M?t nh¢m nh? ng??i ?ang ??ng vÖ hai ng??i ?ang ng?i tràn gh? dÖi	M?t nh¢m nh? ng??i ?ang ??ng vÖ hai ng??i ?ang ng?i tràn gh? sofa	0.96
M?t nh¢m l?n ng??i ?ang ??ng vÖ hai ng??i ?ang ng?i tràn gh? dÖi	M?t nh¢m nh? ng??i ?ang ??ng vÖ hai ng??i ?ang ng?i tràn gh? dÖi	0.68
M?t nh¢m n?m thanh niàn ?ang th? gi?n trong phïng	M?t nh¢m n?m thanh niàn ?ang th? gi?n trong nhÖ	0.877
M?t nh¢m n?m thanh niàn ?ang th? gi?n trong phïng	M?t nh¢m nh? ng??i ?ang ??ng vÖ hai ng??i ?ang ng?i tràn gh? dÖi	0.76
M?t nh¢m l?n ng??i ?ang ??ng vÖ hai ng??i ?ang ng?i tràn gh? dÖi	M?t nh¢m n?m thanh niàn ?ang th? gi?n trong nhÖ	0.7
M?t nh¢m nh? ng??i ?ang ??ng vÖ hai ng??i ?ang ng?i tràn gh? dÖi	M?t nh¢m n?m thanh niàn ?ang th? gi?n trong nhÖ	0.62
Con ch¢ c¢ ??u bàn trong m?t t£i quÖ mÖu ?? vÖ xanh l† cÉy	M?t ch£ ch¢ c¢ ??u bàn trong m?t t£i quÖ mÖu ?? vÖ xanh l† cÉy	1
M?t ch£ ch¢ thï ??u ra ngoÖi t£i quÖ mÖu ?? vÖ xanh l† cÉy	M?t ch£ ch¢ c¢ ??u bàn trong m?t t£i quÖ mÖu ?? vÖ xanh l† cÉy	0.62
Con ch¢ ?? vÖ nÉu ?ang ?Öo m?i vÖo bàn trong t£i quÖ ngÖy l?	Con ch¢ c¢ ??u bàn trong m?t t£i quÖ mÖu ?? vÖ xanh l† cÉy	0.82
M?t ch£ ch¢ thï ??u ra ngoÖi t£i quÖ mÖu ?? vÖ xanh l† cÉy	Con ch¢ ?? vÖ nÉu ?ang ?Öo m?i vÖo bàn trong t£i quÖ ngÖy l?	0.7
